Kod,Nazwa,ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym,ludność w wieku poprodukcyjnym na 100 osób w wieku przedprodukcyjnym,ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym,współczynnik obciążenia demograficznego osobami starszymi,odsetek osób w wieku 65 lat i więcej w populacji ogółem,odsetek osób w wieku 65 lat i więcej w populacji ogółem - mężczyźni,odsetek osób w wieku 65 lat i więcej w populacji ogółem - kobiety
,,2024,2024,2024,2024,2024,2024,2024
,,[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba]
1010000,Powiat piotrkowski,"71,7","116,9","38,6","29,9","19,5","16,2","22,6"
1011000,Powiat poddębicki,"75,2","146,0","44,6","35,0","22,2","18,6","25,8"
1012000,Powiat radomszczański,"73,8","155,0","44,9","34,9","22,4","18,7","26,1"
1013000,Powiat rawski,"76,6","133,5","43,8","33,8","21,4","18,1","24,7"
1014000,Powiat sieradzki,"73,8","139,8","43,0","33,2","21,3","17,8","24,7"
1015000,Powiat skierniewicki,"73,9","113,4","39,3","30,4","19,5","16,4","22,6"
1016000,Powiat tomaszowski,"77,4","146,8","46,0","35,8","22,6","18,4","26,6"
1017000,Powiat wieluński,"74,7","143,5","44,0","33,9","21,8","18,4","25,0"
1018000,Powiat wieruszowski,"70,4","122,0","38,7","30,0","19,6","16,4","22,7"
1019000,Powiat zduńskowolski,"74,9","144,0","44,2","34,1","21,8","17,9","25,5"
1020000,Powiat zgierski,"74,6","143,3","44,0","34,5","22,0","18,0","25,7"
1021000,Powiat brzeziński,"72,7","136,0","41,9","32,9","21,1","17,3","24,7"
1061000,Powiat m. Łódź,"78,5","197,1","52,1","41,9","25,9","20,6","30,4"
1062000,Powiat m. Piotrków Trybunalski,"79,1","170,6","49,9","39,3","24,5","19,6","28,9"
1063000,Powiat m. Skierniewice,"81,5","152,5","49,2","38,1","23,6","19,7","27,1"
1200000,MAŁOPOLSKIE,"68,9","114,7","36,8","28,7","18,8","15,9","21,5"
1201000,Powiat bocheński,"71,3","97,4","35,2","27,2","17,7","15,4","19,9"
1202000,Powiat brzeski,"67,9","106,9","35,1","27,0","17,9","15,0","20,6"
