TABL. III. LUDNOŒÆ, RUCH NATURALNY ORAZ MIGRACJE LUDNOŒCI WED£UG POWIATÓW W 2024 R.;;;;;;;;;;;;;;;;;;;;;;;
                  POPULATION, VITAL STATISTICS AND MIGRATION OF POPULATION BY POWIATS IN 2024.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
"Województwa 
Voivodships
Powiaty
Powiats";"Identyfikator terytorialny
Code";"Ludnoœæ
(stan w dniu 31.12)
Population
(as of 
December 31)";"Ma³¿eñ-stwa 
Marriages";"Urodzenia ¿ywe 
Live births";"Zgony   
Deaths";;"Przyrost naturalny 
Natural increase";"Migracje wewnêtrzne 
Internal migration";;;"Migracje zagraniczne
International migration";;;"Ogólne saldo migracji
Total net migration";"Ma³¿eñ-stwa 
Marriages";"Urodzenia ¿ywe 
Live births";"Zgony 
Deaths";"Przyrost naturalny
Natural increase";"Ogólne saldo migracji 
Total net migration";"Zgony niemowl¹t na 1000 urodzeñ ¿ywych
Infant deaths per 1000 of live births";;;
;;;;;"ogó³em 
total";"w tym niemowl¹t 
of which infant";;"nap³yw 
inflow";"odp³yw 
outflow";"saldo 
net";"imigracja 
immigra-tion";"emigracja 
emigra-tion";"saldo 
net";;;;;;;;;;
;;;;;;;;;;;;;;;"na 1000 ludnoœci    
per 1000 of population";;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
 s³awieñski;3213;52394;188;290;570;1;-280;591;745;-154;23;68;-45;-199;3,6;5,5;10,8;-5,3;-3,8;3,4;;;
 stargardzki;3214;118844;427;749;1297;3;-548;1863;1634;229;104;36;68;297;3,6;6,3;10,9;-4,6;2,5;4,0;;;
 szczecinecki;3215;72023;211;374;917;-;-543;947;1084;-137;33;5;28;-109;2,9;5,2;12,7;-7,5;-1,5;-;;;
 œwidwiñski;3216;42754;137;217;530;1;-313;457;627;-170;7;4;3;-167;3,2;5,0;12,3;-7,3;-3,9;4,6;;;
 wa³ecki;3217;49384;162;255;609;3;-354;501;697;-196;15;39;-24;-220;3,3;5,1;12,3;-7,1;-4,4;11,8;;;
 ³obeski;3218;32974;95;150;417;1;-267;388;544;-156;5;20;-15;-171;2,9;4,5;12,6;-8,0;-5,2;6,7;;;
M.Koszalin;3261;105263;390;621;1243;1;-622;1040;1139;-99;85;52;33;-66;3,7;5,9;11,8;-5,9;-0,6;1,6;;;
M.Szczecin;3262;386706;1729;2588;4419;5;-1831;2859;3625;-766;387;132;255;-511;4,5;6,7;11,4;-4,7;-1,3;1,9;;;
M.Œwinoujœcie;3263;38541;151;193;487;-;-294;286;404;-118;66;42;24;-94;3,9;5,0;12,6;-7,6;-2,4;-;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
